Store Name,Street1,Street2,City,State,Zip,County,Phone
101 First Care Pharmacy Inc,18 E 183Rd St,Abs762931,Bronx,NY,10453,Bronx,718-841-9969
103 Pharmacy Inc,2002 2Nd Ave,,New York,NY,10029,New York,212-410-4410
1070 Southern Drug LLC,1070 Southern Blvd,Abs721043,Bronx,NY,10459,Bronx,718-618-7878
1070 Southern Drug LLC,1070 Southern Blvd,,Bronx,NY,10459,Bronx,718-618-7878
115 Irving Avenue Pharmacy,1706-B Atlantic Ave,,Brooklyn,NY,11213,Kings,718-484-2260
1150 Webster Pharmacy Inc,1150 Webster Ave,Abs735817,Bronx,NY,10456,Bronx,718-975-0142
1225 Fulton Ave Pharmacy,1225 Fulton Ave,,Bronx,NY,10456,Bronx,718-304-7380
123 Pharmacy Inc,764 Burke Ave,,Bronx,NY,10467,Bronx,718-708-7960
123 PHARMACY INC,37-12 Prince Street,,Flushing,NY,11354,Queens,718-971-1690
13 AVE PHARMACY INC,5211 13 Ave,,Brooklyn,NY,11219,Kings,718-871-9777
1325 FIFTH AVE DRUGS INC,3206 Mermaid Ave,,Brooklyn,NY,11224,Kings,718-996-4949
133rd Street Pharmacy Inc,1473 Amsterdam Ave. #1,,New York City,NY,10027,New York,212-491-4911
135 Jericho Pharmacy Corp,135 West Jericho Turnpike,,Huntington Stat,NY,11746,Suffolk,631-923-1060
139 Center Pharmacy LLC,139 Centre St,Store #105,New York,NY,10013,New York,646-838-6388
139 Pharmacy Inc,3415 Broadway 139Th St,,New York,NY,10031,New York,212-283-6623
1400 ST NICHOLAS LLC,1400 St Nicholas Ave,,New York,NY,10033,New York,212-568-5454
145th Street Pharmacy Inc,300 West 145Th St,,New York,NY,10039,New York,212-281-3480
161 ST PHARMA INC,275 East 161 St,,Bronx,NY,10451,Bronx,718-742-3400
1622 Voorhies Pharmacy Inc,1622 Voorhies Ave,,Brooklyn,NY,11235,Kings,347-462-9778
167 Rx Inc,55 East 167Th St,,Bronx,NY,10452,Bronx,347-591-4575
168 DME INC,135-05 38Th Ave,,Flushing,NY,11354,Queens,929-456-6550
1699 Fancy Pharmacy Inc,131 Essex St,,New York,NY,10002,New York,212-529-4532
16TH AVE PHARMACY LLC,4605 16Th Ave,,Brooklyn,NY,11204,Kings,718-686-8000
1746 Pharmacy Corp.,524 Clarkson Ave,,Brooklyn,NY,11203,Kings,718-774-1656
175 JERICHO PHARMACY CORP,175 Jericho Tpke West Lobby,,Syosset,NY,11791,Nassau,516-865-1151
18 Pharmacy Inc2,18 Elizabeth St,,New York,NY,10013,New York,212-571-0027
181 Pharmacy Inc,565 West 181St St,,New York,NY,10033,New York,212-543-2616
1875 LEXINGTON AVENUE LLC OF NYS,"279 Main Street, Suite 103",,New Paltz,NY,12561,Ulster,845-295-3335
2027 ALICO PHARMACY CORP,2027 Jerome Ave.,,Bronx,NY,10453,Bronx,718-294-1949
21st Century Pharmacy Inc,96-05 57Th Ave,,Corona,NY,11368,Queens,718-699-8899
2205 Health Inc,1871 86Th Street,,Brooklyn,NY,11214,Kings,718-232-4912
2355 2nd Avenue Corp,2355 2Nd Avenue,Abs765570,New York,NY,10035,New York,212-426-7151
2355 2ND AVENUE NYS LLC,2355 2Nd Avenue,,New York,NY,10035,New York,212-426-7151
274 Brighton Beach Drugs Inc,274 Brighton Beach Ave,,Brooklyn,NY,11235,Kings,718-648-0002
278 Pharmacy Inc,27 East Broadway,,New York,NY,10002,New York,212-227-7666
2818 Fulton Street Pharmacy Inc,2818 Fulton Avenue,,Brooklyn,NY,11207,Kings,718-235-6344
2R Drug Corp,111-21 Jamaica Ave.,,Richmond Hill,NY,11418,Queens,718-441-1426
30th Avenue Pharmacy Inc,35-06 30Th Avenue,,Astoria,NY,11103,Queens,718-777-8544
32 24 Drug Corp,32-84 Steinway Street,,Astoria,NY,11103,Queens,718-204-7867
35 VALLEY AVE LLC,35 Valley Ave,,Elmsford,NY,10523,Westchester,914-840-5027
353 EMPIRE PHARMACY INC,347 B Empire Blvd,,Brooklyn,NY,11225,Kings,718-467-0918
37-17 Union Pharmacy Corp,3632 Union Street,,Flushing,NY,11354,Queens,718-961-6010
37th Ave Pharmacy Inc,95-07 37Th Ave,,Jackson Heights,NY,11372,Queens,718-424-8684
39TH STREET PHARMACY INC,3902 16Th Ave,,Brooklyn,NY,11218,Kings,718-552-2323
405 86th St Pharmacy Inc,403 86Th St,,Brooklyn,NY,11209,Kings,718-745-1252
41 Avenue Pharmacy LLC,136-33 37Th Avenue Unit 1A,,Flushing,NY,11354,Queens,718-353-8600
45 Ludlow Pharmacy and Surgical,45 Ludlow St,,Yonkers,NY,10705,Westchester,914-377-2334
47th St Enterprise LLC,4620 3Rd Ave,,Brooklyn,NY,11220,Kings,718-439-1570
4TH AVE DRUG STORE INC,26 South 4Th Ave,,Mount Vernon,NY,10550,Westchester,914-863-0399
4th Avenue Pharmacy,5002 4Th Avenue,,Brooklyn,NY,11220,Kings,718-492-1500
50 OCEANA PHARMACY CORP,3211 Coney Island Ave,,Brooklyn,NY,11235,Kings,347-868-6394
5247 Broadway Drugs Inc,5203-A Broadway,,Bronx,NY,10463,Bronx,718-562-6637
53 Pharmacy Inc,5315 8Th Avenue,,Brooklyn,NY,11220,Kings,718-686-0006
5407 Pharmacy Inc,5407 2Nd Avenue,,Brooklyn,NY,11220,Kings,718-492-9800
59 Street Pharmacy Inc,5816 4Th Ave,,Brooklyn,NY,11220,Kings,718-567-0019
59 STREET RX INC,5816 4Th Ave.,,Brooklyn,NY,11220,Kings,718-567-0019
596 Morris Ave Pharmacy Inc,596 Morris Ave,,Bronx,NY,10451,Bronx,718-401-8800
5th Avenue Drugs Inc,1805 Fifth Ave.,,Bay Shore,NY,11706,Suffolk,631-231-4960
5th Avenue Pharmacy Inc,4818 5Th Avenue,Abs746444,Brooklyn,NY,11220,Kings,718-439-8585
66 PHARMACY INC,66 E Broadway,,New York,NY,10002,New York,646-484-6683
678 Pharmacy Inc,"139 Centre Street, Suite 201",,New York,NY,10013,New York,646-870-9996
679 STANLEY AVENUE DRUGS INC,679 Stanley Avenue,,Brooklyn,NY,11207,Kings,718-649-0200
7 Hills RX Inc,708 Saint Nicholas Ave,,New York,NY,10031,New York,212-234-4299
710 QUICK STOP INC,710 2Nd Avenue,,New York,NY,10016,New York,212-661-7570
72 LUCKY LOTTO INC,7201 3Rd Ave,,Brooklyn,NY,11209,Kings,718-745-5609
736 JACKSON PHARMACY CORP,736 East 152Nd Street,,Bronx,NY,10455,Bronx,718-292-2088
